"abk","Abkhazian"
"aar","Afar"
"afr","Afrikaans"
"aka","Akan"
"sq","Albanian"
"amh","Amharic"
"ara","Arabic"
"arg","Aragonese"
"hye","Armenian"
"asm","Assamese"
"ava","Avaric"
"ave","Avestan"
"aym","Aymara"
"aze","Azerbaijani"
"bam","Bambara"
"bak","Bashkir"
"eus","Basque"
"bel","Belarusian"
"ben","Bengali"
"bis","Bislama"
"bos","Bosnian"
"bre","Breton"
"bul","Bulgarian"
"mya","Burmese"
"cat","Catalan"
"cha","Chamorro"
"che","Chechen"
"nya","Chichewa"
"zho","Chinese"
"chv","Chuvash"
"cor","Cornish"
"cos","Corsican"
"cre","Cree"
"hrv","Croatian"
"ces","Czech"
"dan","Danish"
"div","Divehi"
"nld","Dutch"
"dzo","Dzongkha"
"eng","English"
"epo","Esperanto"
"est","Estonian"
"ewe","Ewe"
"fao","Faroese"
"fij","Fijian"
"fin","Finnish"
"fra","French"
"ful","Fulah"
"glg","Galician"
"kat","Georgian"
"deu","German"
"ell","Greek"
"grn","Guaraní"
"guj","Gujarati"
"hat","Haitian"
"hau","Hausa"
"heb","Hebrew"
"her","Herero"
"hin","Hindi"
"hmo","Hiri Motu"
"hun","Hungarian"
"isl","Icelandic"
"ido","Ido"
"ibo","Igbo"
"ind","Indonesian"
"ina","Interlingua (IALA)"
"ile","Interlingue"
"iku","Inuktitut"
"ipk","Inupiaq"
"gle","Irish"
"ita","Italian"
"jpn","Japanese"
"jav","Javanese"
"kal","Kalaallisut"
"kan","Kannada"
"kau","Kanuri"
"kas","Kashmiri"
"kaz","Kazakh"
"khm","Khmer"
"kik","Kikuyu"
"kin","Kinyarwanda"
"kir","Kirghiz"
"run","Kirundi"
"kom","Komi"
"kon","Kongo"
"kor","Korean"
"kur","Kurdish"
"kua","Kwanyama"
"lao","Lao"
"lat","Latin"
"lav","Latvian"
"lim","Limburgish"
"lin","Lingala"
"lit","Lithuanian"
"lub","Luba-Katanga"
"lug","Luganda"
"ltz","Luxembourgish"
"mkd","Macedonian"
"mlg","Malagasy"
"msa","Malay"
"mal","Malayalam"
"mlt","Maltese"
"glv","Manx"
"mar","Marathi"
"mah","Marshallese"
"mon","Mongolian"
"mri","Māori"
"nau","Nauru"
"nav","Navajo"
"ndo","Ndonga"
"nep","Nepali"
"nde","North Ndebele"
"sme","Northern Sami"
"nor","Norwegian"
"nob","Norwegian Bokmål"
"nno","Norwegian Nynorsk"
"non","Old Norse"
"iii","Nuosu"
"oci","Occitan"
"oji","Ojibwa"
"ori","Oriya"
"orm","Oromo"
"oss","Ossetian"
"pan","Panjabi"
"pus","Pashto"
"fas","Persian"
"pol","Polish"
"por","Portuguese"
"pli","Pali"
"que","Quechua"
"ron","Romanian"
"rus","Russian"
"smo","Samoan"
"sag","Sango"
"san","Sanskrit"
"srd","Sardinian"
"gla","Scottish Gaelic"
"srp","Serbian"
"sna","Shona"
"snd","Sindhi"
"sin","Sinhalese"
"slk","Slovak"
"slv","Slovenian"
"som","Somali"
"nbl","South Ndebele"
"sot","Southern Sotho"
"spa","Spanish"
"sun","Sundanese"
"swa","Swahili"
"ssw","Swati"
"swe","Swedish"
"tgl","Tagalog"
"tah","Tahitian"
"tgk","Tajik"
"tam","Tamil"
"tat","Tatar"
"tel","Telugu"
"tha","Thai"
"bod","Tibetan"
"tir","Tigrinya"
"ton","Tonga"
"tso","Tsonga"
"tsn","Tswana"
"tur","Turkish"
"tuk","Turkmen"
"twi","Twi"
"uig","Uighur"
"ukr","Ukrainian"
"urd","Urdu"
"uzb","Uzbek"
"ven","Venda"
"vie","Vietnamese"
"vol","Volapük"
"wln","Walloon"
"cym","Welsh"
"fry","Western Frisian"
"wol","Wolof"
"xho","Xhosa"
"yid","Yiddish"
"yor","Yoruba"
"zha","Zhuang"
"zul","Zulu"
"chu","Church Slavic"
